127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/js/jquery-ui.min.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/js/share.js, HTTP/1.1, 200, 0.000812
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/css/animate.css, HTTP/1.1, 200, 0.000795
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/images/egg.gif, HTTP/1.1, 200, 0.000704
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000962
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/images/twitter.png, HTTP/1.1, 200, 0.000647
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/images/facebook.png, HTTP/1.1, 200, 0.000679
127.0.0.1, 2015-12-07 00:45:25, GET, /project_bacon/static/images/gplus-32.png, HTTP/1.1, 200, 0.000437
127.0.0.1, 2015-12-07 00:45:27, GET, /project_bacon/default/instructions, HTTP/1.1, 200, 0.035663
127.0.0.1, 2015-12-07 00:45:29, GET, /project_bacon/default/index, HTTP/1.1, 200, 0.034903
127.0.0.1, 2015-12-07 00:45:31, GET, /project_bacon/default/wordlist, HTTP/1.1, 200, 0.386752
127.0.0.1, 2015-12-07 00:45:32, GET, /project_bacon/static/css/images/ui-bg_inset-hard_100_fcfdfd_1x100.png, HTTP/1.1, 404, 0.000364
127.0.0.1, 2015-12-07 00:45:32, GET, /project_bacon/static/css/images/ui-bg_glass_85_dfeffc_1x400.png, HTTP/1.1, 404, 0.000515
127.0.0.1, 2015-12-07 00:45:32, GET, /project_bacon/static/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png, HTTP/1.1, 404, 0.000537
127.0.0.1, 2015-12-07 00:45:32, GET, /project_bacon/static/css/images/ui-icons_6da8d5_256x240.png, HTTP/1.1, 404, 0.000490
127.0.0.1, 2015-12-07 00:45:32, GET, /project_bacon/static/css/images/ui-icons_f9bd01_256x240.png, HTTP/1.1, 404, 0.000436
127.0.0.1, 2015-12-07 00:45:33, GET, /project_bacon/static/css/images/ui-bg_glass_75_d0e5f5_1x400.png, HTTP/1.1, 404, 0.000386
127.0.0.1, 2015-12-07 00:45:33, GET, /project_bacon/static/css/images/ui-icons_217bc0_256x240.png, HTTP/1.1, 404, 0.001483
127.0.0.1, 2015-12-07 00:45:35, GET, /project_bacon/default/board, HTTP/1.1, 200, 0.034604
127.0.0.1, 2015-12-07 00:45:35, GET, /project_bacon/static/js/form-validate.js, HTTP/1.1, 200, 0.000699
127.0.0.1, 2015-12-07 00:45:35, POST, /project_bacon/default/load_games, HTTP/1.1, 200, 0.068280
127.0.0.1, 2015-12-07 00:45:35, POST, /project_bacon/default/load_game_names, HTTP/1.1, 200, 0.205322
127.0.0.1, 2015-12-07 00:45:39, GET, /project_bacon/default/game/1, HTTP/1.1, 200, 0.419220
127.0.0.1, 2015-12-07 00:45:39, GET, /project_bacon/static/css/myapp.css, HTTP/1.1, 304, 0.000595
127.0.0.1, 2015-12-07 00:45:39, GET, /project_bacon/static/js/bacon.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2015-12-07 00:45:40, POST, /project_bacon/default/load_wordlist, HTTP/1.1, 200, 0.501989
127.0.0.1, 2015-12-07 17:33:07, GET, /, HTTP/1.1, 303, 0.003089
127.0.0.1, 2015-12-07 17:33:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.261911
127.0.0.1, 2015-12-07 17:33:11, GET, /admin/default/site, HTTP/1.1, 303, 0.083244
127.0.0.1, 2015-12-07 17:33:11, GET, /admin/default/index, HTTP/1.1, 200, 0.048824
127.0.0.1, 2015-12-07 17:33:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2015-12-07 17:33:14, POST, /admin/default/index, HTTP/1.1, 303, 0.045088
127.0.0.1, 2015-12-07 17:33:14, GET, /admin/default/site, HTTP/1.1, 200, 0.062679
127.0.0.1, 2015-12-07 17:33:14, POST, /admin/default/check_version, HTTP/1.1, 200, 0.324662
127.0.0.1, 2015-12-07 17:33:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2015-12-07 17:33:16, GET, /project_bacon/default/index, HTTP/1.1, 200, 0.105270
127.0.0.1, 2015-12-07 17:33:16, GET, /project_bacon/static/css/myapp.css, HTTP/1.1, 200, 0.000843
127.0.0.1, 2015-12-07 17:33:19, GET, /project_bacon/default/user/login, HTTP/1.1, 200, 0.049788
127.0.0.1, 2015-12-07 17:33:28, GET, /project_bacon/default/user/register, HTTP/1.1, 200, 0.044070
127.0.0.1, 2015-12-07 17:33:35, POST, /project_bacon/default/user/register, HTTP/1.1, 303, 0.057992
127.0.0.1, 2015-12-07 17:33:35, GET, /project_bacon/default/index, HTTP/1.1, 303, 0.026375
127.0.0.1, 2015-12-07 17:33:35, GET, /project_bacon/default/board, HTTP/1.1, 200, 0.035438
127.0.0.1, 2015-12-07 17:33:35, POST, /project_bacon/default/load_games, HTTP/1.1, 200, 0.037129
127.0.0.1, 2015-12-07 17:33:36, POST, /project_bacon/default/load_game_names, HTTP/1.1, 200, 0.193886
127.0.0.1, 2015-12-07 17:33:36, GET, /project_bacon/static/css/images/ui-bg_inset-hard_100_fcfdfd_1x100.png, HTTP/1.1, 404, 0.000396
127.0.0.1, 2015-12-07 17:33:40, GET, /project_bacon/default/game/1, HTTP/1.1, 200, 0.438243
127.0.0.1, 2015-12-07 17:33:40, GET, /project_bacon/static/js/bacon.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2015-12-07 17:33:41, POST, /project_bacon/default/load_wordlist, HTTP/1.1, 200, 0.626005
127.0.0.1, 2015-12-07 17:33:43, GET, /project_bacon/static/images/kbsad.jpg, HTTP/1.1, 404, 0.000354
127.0.0.1, 2015-12-07 17:33:50, GET, /project_bacon/static/js/ractive.min.js.map, HTTP/1.1, 404, 0.000488
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/default/game/1, HTTP/1.1, 200, 0.529794
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000691
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000801
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003259
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/jquery-ui.min.css, HTTP/1.1, 200, 0.000890
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/jquery-ui.structure.min.css, HTTP/1.1, 200, 0.000647
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/jquery-ui.theme.min.css, HTTP/1.1, 200, 0.000609
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/myapp.css, HTTP/1.1, 200, 0.000647
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/calendar.css, HTTP/1.1, 200, 0.000700
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000639
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/css/animate.css, HTTP/1.1, 200, 0.000628
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/js/ractive.min.js, HTTP/1.1, 200, 0.002357
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/js/jquery.js, HTTP/1.1, 200, 0.000652
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/js/calendar.js, HTTP/1.1, 200, 0.000647
127.0.0.1, 2015-12-07 17:35:08, GET, /project_bacon/static/js/web2py.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2015-12-07 17:35:09, GET, /project_bacon/static/js/bacon.js, HTTP/1.1, 200, 0.000730
127.0.0.1, 2015-12-07 17:35:09, GET, /project_bacon/static/js/form-validate.js, HTTP/1.1, 200, 0.000430
127.0.0.1, 2015-12-07 17:35:09, GET, /project_bacon/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2015-12-07 17:35:09, GET, /project_bacon/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000447
127.0.0.1, 2015-12-07 17:35:09, GET, /project_bacon/static/js/jquery-ui.min.js, HTTP/1.1, 200, 0.000511
127.0.0.1, 2015-12-07 17:35:09, GET, /project_bacon/static/js/share.js, HTTP/1.1, 200, 0.000428
127.0.0.1, 2015-12-07 17:35:09, GET, /project_bacon/static/js/ractive.min.js.map, HTTP/1.1, 404, 0.000550
127.0.0.1, 2015-12-07 17:35:10, GET, /project_bacon/static/images/egg.gif, HTTP/1.1, 200, 0.000693
127.0.0.1, 2015-12-07 17:35:10, GET, /project_bacon/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002760
127.0.0.1, 2015-12-07 17:35:10, GET, /project_bacon/static/images/gplus-32.png, HTTP/1.1, 200, 0.006012
127.0.0.1, 2015-12-07 17:35:10, GET, /project_bacon/static/images/facebook.png, HTTP/1.1, 200, 0.001268
127.0.0.1, 2015-12-07 17:35:10, GET, /project_bacon/static/images/twitter.png, HTTP/1.1, 200, 0.008801
127.0.0.1, 2015-12-07 17:35:10, POST, /project_bacon/default/load_wordlist, HTTP/1.1, 200, 0.629776
127.0.0.1, 2015-12-07 17:35:10, GET, /project_bacon/static/css/images/ui-bg_inset-hard_100_fcfdfd_1x100.png, HTTP/1.1, 404, 0.000746
127.0.0.1, 2015-12-07 17:35:12, GET, /project_bacon/static/images/kbsad2.jpg, HTTP/1.1, 200, 0.000506
